id;price;year;mileage;fuel;status;internal_number;performance;vat;vin;colour;ac;esp;abs;doors;cubic_capacity;number_of_seats;emission_class;emission;gearbox
1;43345;2001;6543;HYBRID_DIESEL;SOLD;5g7y4h8;30;TRUE;vin;hex#54515;ON;FALSE;TRUE;2;35;6;EURO3;25;MANUAL_GEARBOX
2;6635;2006;53262;ELECTRIC;PENDING;9g7u4h8;35;TRUE;vin2;hex#54815;OFF;FALSE;TRUE;5;45;1;EURO4;25;AUTOMATIC
3;8500;2003;12355;PETROL;DEACTIVATED;59ly4h8;21;TRUE;vin3;hex#54815;ON;FALSE;TRUE;4;15;3;EURO2;25;NO_DETAILS
4;12400;2016;23444;HYBRID_PETROL;SOLD;yu7y4h8;33;TRUE;vin8;hex#89515;AUTO;FALSE;TRUE;8;33;2;EURO2;25;AUTOMATIC
5;3200;2018;64333;ELECTRIC;PUBLISHED;tg7y4h8;44;TRUE;vin7;hex#94515;OFF;FALSE;TRUE;4;44;4;EURO4;25;MANUAL_GEARBOX
6;4291;2005;225555;HYBRID_DIESEL;PUBLISHED;u97y4h8;55;TRUE;vin4;hex#54515;AUTO;FALSE;TRUE;4;22;3;EURO1;25;NO_DETAILS
7;62323;2020;6433;ELECTRIC;SOLD;3p6y4h8;21;TRUE;vin5;hex#34515;ON;FALSE;TRUE;4;25;4;EURO3;2;MANUAL_GEARBOX
8;6722;2021;1245;HYBRID_DIESEL;DEACTIVATED;967y4h8;50;TRUE;vin1;hex#54515;ON;FALSE;TRUE;4;25;8;EURO1;25;AUTOMATIC
9;15313;2022;65432;HYBRID_PETROL;SOLD;5g8y4h8;35;TRUE;vin5;hex#94515;AUTO;FALSE;TRUE;6;14;4;EURO5;25;NO_DETAILS
10;55260;2015;245645;HYBRID_PETROL;PENDING;9g7y9h8;30;TRUE;vin3;hex#54515;ON;FALSE;TRUE;2;32;0;EURO1;25;MANUAL_GEARBOX
